i,Variety,BinName,Grower,Block,FilledTime,EmptiedTime,ElapsedTime,ElapsedSeconds,EndMoisture,Buyer,ShippedOn,CertWgt,Acceptable
1583,Chandler,E09,NUT17,C25,4/16/2018 2:11 PM,4/17/2018 4:53 PM,11:39:49,41989,6.6,3038,17/04/2018,7390,yes
1584,Chandler,E10,NUT17,C25,4/16/2018 2:11 PM,4/17/2018 4:57 PM,11:10:50,40250,6.6,3038,17/04/2018,7390,yes
1585,Chandler,E11,NUT17,C25,4/16/2018 2:11 PM,4/17/2018 5:08 PM,26:57:14,97034,6.6,3038,17/04/2018,7390,yes
1586,Chandler,E12,NUT17,C12,4/16/2018 3:28 PM,4/17/2018 5:02 PM,7:18:32,26312,6.3,3038,17/04/2018,7390,yes
1587,Chandler,F12,NUT17,C12,4/16/2018 3:28 PM,4/19/2018 9:39 AM,44:24:50,159890,4.6,5535,19/04/2018,9990,yes
1588,Chandler,A06,NUT17,C12,4/16/2018 3:28 PM,4/17/2018 1:39 PM,9:57:11,35831,7.1,3093,17/04/2018,8780,yes
1589,Chandler,A07,NUT17,C12,4/16/2018 3:28 PM,4/17/2018 1:44 PM,9:28:42,34122,7.1,3093,17/04/2018,8780,yes
1590,Chandler,A08,NUT17,C13,4/16/2018 3:59 PM,4/17/2018 1:52 PM,9:12:06,33126,7.1,3093,17/04/2018,8780,yes
1591,Chandler,A10,NUT17,C13,4/16/2018 3:59 PM,4/18/2018 10:02 AM,18:35:47,66947,6.7,5553,18/04/2018,10570,yes
1592,Chandler,A11,NUT17,C13,4/16/2018 3:59 PM,4/18/2018 2:28 PM,22:28:51,80931,5.9,2058,18/04/2018,7790,yes
1593,Chandler,A12,NUT17,C14,4/16/2018 4:51 PM,4/18/2018 2:31 PM,22:28:51,80931,3.2,2058,18/04/2018,7790,yes
1594,Chandler,B01,NUT17,C14,4/16/2018 4:51 PM,4/18/2018 12:19 PM,2:52:43,10363,5.8,3009,18/04/2018,10320,yes
1595,Chandler,B02,NUT17,C14,4/18/2018 10:41 AM,4/18/2018 10:41 AM,1:09:10,4150,5.1,3337,18/04/2018,8830,yes
1596,Chandler,B03,NUT17,C14,4/16/2018 4:51 PM,4/18/2018 12:28 PM,2:56:52,10612,5.5,3009,18/04/2018,10320,yes
1597,Chandler,B04,NUT17,C14,4/16/2018 5:40 PM,4/18/2018 10:44 AM,1:10:55,4255,4.8,3337,18/04/2018,8830,yes
1598,Chandler,B06,NUT17,C14,4/16/2018 6:39 PM,4/18/2018 1:27 PM,41:48:02,150482,5.3,2753,18/04/2018,9030,yes
1599,Chandler,B07,NUT17,C13,4/16/2018 10:31 PM,4/18/2018 11:42 AM,2:08:32,7712,5.8,5355,18/04/2018,10020,yes
1600,Chandler,B08,NUT17,C13,4/16/2018 10:31 PM,4/18/2018 11:51 AM,2:08:32,7712,5.8,5355,18/04/2018,10020,yes
1601,Chandler,B09,NUT17,C13,4/16/2018 10:31 PM,4/18/2018 11:03 AM,18:36:09,66969,4.5,2855,18/04/2018,9090,yes
1602,Chandler,B10,NUT17,C13,4/16/2018 10:31 PM,4/18/2018 11:06 AM,18:35:43,66943,4.8,2855,18/04/2018,9090,yes
1603,Chandler,B12,NUT17,C13,4/16/2018 10:31 PM,4/18/2018 1:33 PM,21:48:37,78517,6.4,2753,18/04/2018,9030,yes
1604,Chandler,D11,NUT17,C13,4/16/2018 10:31 PM,4/19/2018 9:20 AM,29:29:25,106165,3.7,5535,19/04/2018,9990,yes
1605,Chandler,D12,NUT17,C13,4/16/2018 10:31 PM,4/19/2018 9:35 AM,29:29:25,106165,3.7,5535,19/04/2018,9990,yes
1606,Chandler,H1,NUT17,C12,4/16/2018 10:31 PM,4/18/2018 4:39 PM,10:10:48,36648,3.3,3082,18/04/2018,8540,yes
1607,Chandler,H2,NUT17,C12,4/16/2018 10:31 PM,4/18/2018 5:16 PM,9:14:09,33249,2.8,3907,18/04/2018,9420,yes
1608,Chandler,H3,NUT17,D23,4/17/2018 2:06 AM,4/18/2018 5:29 PM,7:39:55,27595,4.1,3907,18/04/2018,9420,yes
1609,Chandler,H4,NUT17,D23,4/17/2018 2:06 AM,4/18/2018 5:51 PM,7:21:40,26500,3.85,5377,18/04/2018,9780,yes
1610,Chandler,H5,NUT17,D23,4/17/2018 2:06 AM,4/19/2018 2:50 PM,8:03:34,29014,2.8,2355,19/04/2018,7830,yes
1611,Chandler,H6,NUT17,D23,4/17/2018 2:06 AM,4/17/2018 10:09 AM,9:57:44,35864,2.8,3082,18/04/2018,8540,yes
1612,Mixed,J1,62319,18138 Mixed,4/17/2018 3:01 AM,4/24/2018 8:12 AM,23:03:40,83020,3.5,2323,24/04/2018,8490,yes
1613,Mixed,J2,62319,18139 Mixed,4/17/2018 3:02 AM,4/24/2018 8:20 AM,23:32:51,84771,3.5,2755,24/04/2018,8490,yes
1614,Mixed,J3,62319,18140 Mixed,4/17/2018 3:02 AM,4/24/2018 8:44 AM,73:08:09,263289,3.5,2755,24/04/2018,8490,yes
1615,Mixed,J4,62319,18140 Mixed,4/20/2018 12:58 AM,4/20/2018 1:27 AM,0:28:25,1705,2.8,2235,24/04/2018,8850,yes
1616,Chandler,J5,NUT17,C15,4/17/2018 12:07 PM,4/19/2018 4:54 PM,9:55:35,35735,6.25,3095,19/04/2018,8680,yes
1617,Chandler,J6,NUT17,C15,4/17/2018 12:07 PM,4/19/2018 5:17 PM,9:38:57,34737,3.9,3055,19/04/2018,8670,yes
1618,Chandler,J7,NUT17,C15,4/17/2018 12:07 PM,4/19/2018 5:38 PM,11:29:48,41388,5.8,2755,19/04/2018,7820,yes
1619,Chandler,J8,NUT17,C16,4/17/2018 1:42 PM,4/19/2018 5:49 PM,8:39:37,31177,5.7,2755,19/04/2018,7820,yes
1620,Chandler,H7,NUT17,C16,4/17/2018 1:42 PM,4/19/2018 3:42 PM,13:35:49,48949,4.95,5557,19/04/2018,10060,yes
1621,Chandler,H8,NUT17,C16,4/17/2018 1:42 PM,4/19/2018 2:59 PM,17:22:32,62552,3.8,2355,19/04/2018,7830,yes
1622,Chandler,H9,NUT17,B14 and A13,4/17/2018 3:16 PM,4/18/2018 4:48 PM,15:48:10,56890,3.7,3082,18/04/2018,8540,yes
